Customer_ID,Age,Gender,City,Product_Category,Purchase_Amount,Purchase_Frequency,Rating,Purchase_Date
C059,21,Female,Bengaluru,Clothing,13410.88,14,3.7,2026-02-28
C060,46,Male,Hyderabad,Clothing,2455.09,2,4.6,2026-03-01
C061,35,Male,Hyderabad,Sports,7845.89,11,2.7,2026-03-02
C062,43,Male,Hyderabad,Clothing,3728.45,3,4.5,2026-03-03
C063,51,Male,Kolkata,Sports,8845.19,7,2.6,2026-03-04
C064,27,Female,Lucknow,Electronics,12988.14,6,4.6,2026-03-05
C065,53,Male,Delhi,Beauty,13241.29,12,2.6,2026-03-06
C066,31,Male,Hyderabad,Sports,3779.27,2,2.5,2026-03-07
C067,48,Male,Delhi,Electronics,13643.1,6,4.2,2026-03-08
C068,32,Female,Hyderabad,Clothing,9000.76,2,5.0,2026-03-09
C069,25,Female,Bengaluru,Clothing,5448.21,2,4.7,2026-03-10
C070,31,Female,Lucknow,Electronics,10710.26,2,3.9,2026-03-11
C071,40,Female,Lucknow,Clothing,7380.5,14,4.8,2026-03-12
C072,57,Male,Jaipur,Electronics,5856.42,15,2.5,2026-03-13
C073,38,Male,Kolkata,Sports,,11,4.9,2026-03-14
C074,33,Female,Jaipur,Sports,3956.25,3,3.7,2026-03-15
C075,35,Male,Jaipur,Electronics,5154.71,15,4.3,2026-03-16
C076,41,Male,Jaipur,Sports,6686.44,2,4.6,2026-03-17
C077,43,Male,Jaipur,Sports,4029.13,4,4.3,2026-03-18
C078,42,Female,Jaipur,Sports,6256.47,9,3.8,2026-03-19
C079,58,Female,Pune,Grocery,8700.65,6,3.7,2026-03-20
C080,46,Male,Lucknow,Beauty,11192.32,1,4.6,2026-03-21
C081,32,Female,Jaipur,Clothing,11577.76,8,3.0,2026-03-22
C082,18,Female,Hyderabad,Grocery,12395.02,15,4.9,2026-03-23
C083,42,Female,Lucknow,Sports,11239.91,12,4.3,2026-03-24
C084,24,Female,Lucknow,Electronics,10311.28,14,3.0,2026-03-25
C085,26,Female,Mumbai,Sports,3791.35,7,4.3,2026-03-26
C086,41,Male,Pune,Beauty,6183.28,10,3.8,2026-03-27
C087,18,Female,Jaipur,Sports,7322.41,3,4.3,2026-03-28
C088,25,Male,Delhi,Electronics,1518.5,1,4.4,2026-03-29
C089,41,Male,Bengaluru,Beauty,8067.04,5,2.7,2026-03-30
C090,28,Female,Kolkata,Sports,6714.14,13,3.8,2026-03-31
C091,34,Male,Hyderabad,Beauty,12091.01,4,4.8,2026-04-01
C092,25,Male,Delhi,Clothing,14675.14,10,,2026-04-02
C093,52,Male,Pune,Clothing,8473.27,8,4.0,2026-04-03
C094,52,Female,Bengaluru,Sports,5043.49,1,3.4,2026-04-04
C095,50,Female,Pune,Beauty,937.99,10,3.6,2026-04-05
C096,22,Male,Hyderabad,Electronics,13892.26,1,3.9,2026-04-06
C097,59,Female,Lucknow,Sports,13811.0,12,3.9,2026-04-07
C098,56,Female,Bengaluru,Clothing,4018.96,4,3.0,2026-04-08
C099,58,Female,Lucknow,Clothing,10522.54,8,4.2,2026-04-09
C100,45,Female,Hyderabad,Sports,1408.89,5,2.7,2026-04-10
C101,24,Male,Delhi,Beauty,2743.37,2,2.8,2026-04-11
C102,26,Male,Hyderabad,Clothing,3487.09,6,2.5,2026-04-12
C103,25,Female,Delhi,Beauty,4629.06,5,2.8,2026-04-13
C104,29,Female,Bengaluru,Clothing,14938.72,2,3.7,2026-04-14
C105,51,Male,Bengaluru,Clothing,10544.8,13,4.0,2026-04-15
C106,50,Male,Jaipur,Grocery,5947.77,14,4.5,2026-04-16
C107,40,Female,Pune,Clothing,11135.38,11,2.8,2026-04-17
C108,41,Male,Jaipur,Electronics,13754.24,11,4.6,2026-04-18
C109,54,Female,Pune,Sports,14392.93,11,4.4,2026-04-19
C110,52,Female,Jaipur,Sports,1150.6,3,3.5,2026-04-20
C111,57,Male,Lucknow,Beauty,6099.47,15,4.8,2026-04-21
C112,39,Male,Bengaluru,Clothing,1869.31,9,5.0,2026-04-22
C113,44,Female,Delhi,Electronics,5234.2,7,3.0,2026-04-23
C114,52,Female,Pune,Beauty,2794.29,7,3.4,2026-04-24
C115,18,Male,Hyderabad,Grocery,9808.67,15,4.8,2026-04-25
C116,52,Female,Pune,Beauty,6007.55,11,4.3,2026-04-26
C117,54,Male,Delhi,Beauty,3672.1,6,2.6,2026-04-27
C118,31,Female,Jaipur,Clothing,4209.29,8,4.5,2026-04-28
C119,20,Male,Pune,Grocery,5597.07,4,4.6,2026-04-29
C120,18,Male,Kolkata,Beauty,4121.26,8,4.4,2026-04-30
C121,22,Male,Lucknow,Electronics,6962.64,4,4.5,2026-05-01
C122,43,Female,Bengaluru,Electronics,775.04,8,4.6,2026-05-02
C123,31,Female,Delhi,Sports,4412.52,9,3.0,2026-05-03
C124,56,Male,Bengaluru,Grocery,6344.74,3,3.1,2026-05-04
C125,44,Female,Kolkata,Grocery,9160.89,3,4.1,2026-05-05
C126,26,Male,Pune,Sports,4283.08,11,4.8,2026-05-06
C127,32,Male,Pune,Beauty,2257.82,13,3.3,2026-05-07
C128,32,Female,Hyderabad,Grocery,1420.15,2,4.0,2026-05-08
C129,43,Female,Kolkata,Electronics,14125.82,13,4.2,2026-05-09
C130,59,Male,Delhi,Electronics,6424.59,10,3.6,2026-05-10
C131,30,Female,Hyderabad,Clothing,8843.09,3,4.3,2026-05-11
C132,49,Female,Lucknow,Grocery,13811.9,3,4.7,2026-05-12
C133,56,Male,Hyderabad,Beauty,1516.4,5,4.1,2026-05-13
C134,49,Male,Mumbai,Sports,13186.92,5,3.8,2026-05-14
C135,21,Female,Delhi,Sports,8408.34,2,3.6,2026-05-15
C136,47,Male,Mumbai,Beauty,2723.06,12,3.9,2026-05-16
C137,54,Male,Kolkata,Clothing,6345.45,10,3.4,2026-05-17
C138,40,Female,Jaipur,Sports,11730.75,13,3.5,2026-05-18
C139,56,Male,Mumbai,Grocery,7361.44,6,3.8,2026-05-19
C140,32,Male,Lucknow,Clothing,14783.7,5,2.7,2026-05-20
C141,60,Female,Hyderabad,Grocery,5838.06,6,3.1,2026-05-21
C142,46,Female,Jaipur,Electronics,11318.8,1,3.9,2026-05-22
C143,53,Male,Hyderabad,Clothing,6076.94,5,3.6,2026-05-23
C144,30,Male,Mumbai,Sports,12488.71,9,3.3,2026-05-24
C145,49,Female,Hyderabad,Clothing,8665.5,12,4.3,2026-05-25
C146,24,Female,Kolkata,Clothing,45000.0,10,4.2,2026-05-26
C147,39,Female,Jaipur,Clothing,841.28,14,2.9,2026-05-27
C148,45,Female,Kolkata,Clothing,2267.63,2,4.7,2026-05-28
C149,19,Male,Mumbai,Grocery,52000.0,1,3.7,2026-05-29
C150,59,Female,Kolkata,Electronics,1407.78,14,4.4,2026-05-30
